不諳	不	諳	4520
不果	不	果	4340
不可捉摸	不	可捉摸	4310
不作聲	不	作聲	4230
不三不四	不	三不四	4150
不遜	不	遜	4120
不服輸	不	服輸	4025
不吐不快	不	吐不快	3925
不勝其煩	不	勝其煩	3855
不毛之地	不	毛之地	3780
不打緊	不	打緊	3430
不良少年	不	良少年	3395
不知所終	不	知所終	3295
不見天日	不	見天日	3110
不眠不休	不	眠不休	2965
不時之需	不	時之需	2850
不礙事	不	礙事	2785
不成器	不	成器	2740
不盡然	不	盡然	2655
不足掛齒	不	足掛齒	2525
不好惹	不	好惹	2500
不白之冤	不	白之冤	2445
不分彼此	不	分彼此	2425
不衰	不	衰	2355
不勝酒力	不	勝酒力	2350
不堪入耳	不	堪入耳	2315
不上不下	不	上不下	2240
不可名狀	不	可名狀	2200
不中用	不	中用	2120
不貞	不	貞	2085
不識抬舉	不	識抬舉	2065
不諱	不	諱	2035
不識時務	不	識時務	2035
不過問	不	過問	2000
不按牌理出牌	不	按牌理出牌	1805
不留餘地	不	留餘地	1590
不成體統	不	成體統	1530
不二價	不	二價	1515
不中聽	不	中聽	1515
不知輕重	不	知輕重	1345
不藥而癒	不	藥而癒	1290
不落人後	不	落人後	1210
不良分子	不	良分子	1130
不樂	不	樂	1123
不情之請	不	情之請	1040
不見經傳	不	見經傳	1035
不分青紅皂白	不	分青紅皂白	964
不虞	不	虞	792
不到黃河心不死	不	到黃河心不死	745
不勝其擾	不	勝其擾	635
不顧死活	不	顧死活	615
不關痛癢	不	關痛癢	575
不足為訓	不	足為訓	540
不受用	不	受用	500
不厭其詳	不	厭其詳	480
不分軒輊	不	分軒輊	450
不可諱言	不	可諱言	435
不法	不	法	433
不無小補	不	無小補	385
不渝	不	渝	348
不屬	不	屬	276
不容分說	不	容分說	205
不枉此生	不	枉此生	198
不平則鳴	不	平則鳴	139
不可言喻	不	可言喻	108
不克	不	克	72
不容置喙	不	容置喙	66
不亢不卑	不	亢不卑	23
不安於室	不	安於室	21
不敷	不	敷	1
不擅	不	擅	1
不彰	不	彰	1
不稱心	不	稱心	1
不成材	不	成材	1
